date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
1997-06-18,0.07604999999999999,0.0768,0.075,0.0755,49295998,18.12,0.27,103649995.5
1997-06-19,0.0755,0.07654999999999999,0.075,0.0755,20063999,18.12,0.0,85799996.25
1997-06-20,0.07654999999999999,0.07759999999999999,0.075,0.0763,67751997,18.312,1.06,77410796.6
1997-06-23,0.0771,0.0771,0.07395,0.075,20951999,18.0,-1.7,62521197.25
1997-06-24,0.07525,0.0763,0.07395,0.0755,15023999,18.12,0.67,54574797.55
1997-06-25,0.0763,0.0763,0.0745,0.0755,42119998,18.12,0.0,52106397.65
1997-06-26,0.07604999999999999,0.07604999999999999,0.07525,0.0755,63791997,18.12,0.0,51823197.65
1997-06-27,0.0758,0.0758,0.07395,0.0745,23759999,17.88,-1.32,50416797.7
1997-06-30,0.0755,0.07995,0.07395,0.0771,54935998,18.504,3.49,52571997.65
1997-07-01,0.0771,0.0771,0.0755,0.0758,25847999,18.192,-1.69,52681197.65
1997-07-02,0.0758,0.0797,0.0755,0.07945,77639997,19.068,4.75,53482797.65
1997-07-03,0.07995,0.09585,0.0797,0.09555,251543989,22.932,20.4,60387597.35
1997-07-07,0.09165,0.10104999999999999,0.09165,0.1,161063993,24.0,4.6,60633597.35
1997-07-08,0.10210000000000001,0.11664999999999999,0.10210000000000001,0.1151,310343987,27.624,15.1,73798796.8
1997-07-09,0.1151,0.11925000000000001,0.11355,0.11615,165239993,27.876,0.87,76601996.7
1997-07-10,0.11664999999999999,0.12865000000000001,0.11664999999999999,0.12815,181031992,30.756,10.34,84465596.35
1997-07-11,0.12605,0.12605,0.1104,0.11460000000000001,210623991,27.504,-10.54,93364795.95
1997-07-14,0.11615,0.11664999999999999,0.10575,0.10675,92087996,25.62,-6.81,97275595.8
1997-07-15,0.10675,0.12395,0.10675,0.1219,185279992,29.256,14.14,105626395.45
1997-07-16,0.12240000000000001,0.12475,0.1151,0.11664999999999999,60479997,27.996,-4.27,103943995.5
1997-07-17,0.1172,0.1172,0.10779999999999999,0.11095,63383997,26.628,-4.97,104648395.45
1997-07-18,0.1094,0.11095,0.10779999999999999,0.10779999999999999,15599999,25.872,-2.8,104425195.45
1997-07-21,0.10884999999999999,0.1099,0.10729999999999999,0.1091,11496000,26.184,1.21,101612395.6
1997-07-22,0.10835,0.1094,0.10315,0.10675,31271999,25.62,-2.11,102128395.6
1997-07-23,0.1094,0.11664999999999999,0.10884999999999999,0.11460000000000001,65183997,27.504,7.3,104636395.5
1997-07-24,0.1151,0.11565,0.11095,0.113,24335999,27.12,-1.4,103747195.55
1997-07-25,0.11095,0.1125,0.11095,0.11145000000000001,12407999,26.748,-1.33,101177995.65
1997-07-28,0.11145000000000001,0.11979999999999999,0.11095,0.11615,51479998,27.876,4.13,102563995.6
1997-07-29,0.11825,0.125,0.11664999999999999,0.12395,96287996,29.748,6.8,104631595.5
1997-07-30,0.125,0.12525,0.12135,0.12240000000000001,50351998,29.376,-1.29,105856795.45
1997-07-31,0.1219,0.1219,0.11664999999999999,0.11979999999999999,29087999,28.752,-2.12,103429195.55
1997-08-01,0.1172,0.12085,0.1125,0.12085,71759997,29.004,0.83,94439995.95
1997-08-04,0.11875,0.12054999999999999,0.1151,0.11565,53423998,27.756,-4.3,89057996.2
1997-08-05,0.11664999999999999,0.11664999999999999,0.10729999999999999,0.1104,60647997,26.496,-4.5,76573196.7
1997-08-06,0.1104,0.11565,0.1094,0.1125,24863999,27.0,1.9,69554397.0
1997-08-07,0.1125,0.113,0.10625,0.10884999999999999,40655998,26.124,-3.2,62535597.3
1997-08-08,0.10835,0.1151,0.1052,0.11460000000000001,44231998,27.504,5.23,54215997.65
1997-08-11,0.11460000000000001,0.11664999999999999,0.1125,0.1164,24791999,27.936,1.57,50851197.8
1997-08-12,0.11405,0.1151,0.1099,0.1099,11424000,26.376,-5.58,42158398.2
1997-08-13,0.11145000000000001,0.11145000000000001,0.10835,0.1099,11807999,26.376,0.0,39724798.3
1997-08-14,0.10884999999999999,0.1125,0.106,0.10779999999999999,20831999,25.872,-1.91,37597198.4
1997-08-15,0.10675,0.10779999999999999,0.0969,0.10575,31943999,25.38,-1.95,38414398.4
1997-08-18,0.1026,0.1026,0.09845,0.10210000000000001,35687998,24.504,-3.41,39623998.3
1997-08-19,0.1047,0.1104,0.1026,0.10835,20063999,26.004,6.07,39063598.3
1997-08-20,0.1094,0.1094,0.10365,0.10835,19895999,26.004,0.0,36799198.4
1997-08-21,0.10675,0.1086,0.10365,0.10575,12479999,25.38,-2.4,36206398.4
1997-08-22,0.1052,0.10625,0.1047,0.10625,14255999,25.5,0.57,36298798.4
1997-08-25,0.1052,0.113,0.1052,0.11095,22535999,26.628,4.33,34851598.45
1997-08-26,0.11199999999999999,0.1177,0.11145000000000001,0.1172,52199998,28.128,5.68,32647198.55
1997-08-27,0.11535000000000001,0.11615,0.1125,0.11589999999999999,27839999,27.816,-1.11,31521598.6
1997-08-28,0.1151,0.11979999999999999,0.11405,0.11875,22943999,28.5,2.5,31214398.6
1997-08-29,0.11825,0.11875,0.11615,0.11695,14447999,28.068,-1.6,28348798.7
1997-09-02,0.1172,0.11875,0.11664999999999999,0.1177,14639999,28.248,0.68,26409598.75
1997-09-03,0.1172,0.12085,0.11565,0.11664999999999999,39287998,27.996,-0.85,25341598.8
1997-09-04,0.11825,0.1276,0.1172,0.1276,66959997,30.624,9.34,27446398.7
1997-09-05,0.12915,0.13335,0.1229,0.125,38159998,30.0,-2.04,27321598.7
1997-09-08,0.12655,0.15105000000000002,0.125,0.15,112967995,36.0,20.0,30758398.55
1997-09-09,0.15705,0.16924999999999998,0.1513,0.162,179423992,38.88,8.0,38489998.2
1997-09-10,0.16565,0.1664,0.15625,0.1651,77327997,39.624,1.91,41785198.05
1997-09-11,0.16665000000000002,0.16665000000000002,0.15209999999999999,0.1578,85247996,37.872,-4.42,45457197.9
1997-09-12,0.1594,0.18489999999999998,0.1578,0.1844,66671997,44.256,16.86,47749197.8
1997-09-15,0.18334999999999999,0.18385,0.1526,0.1547,111671995,37.128,-16.11,51735597.6
1997-09-16,0.15625,0.17709999999999998,0.156,0.1677,128639994,40.248,8.4,56383197.4
1997-09-17,0.1729,0.175,0.16665000000000002,0.1703,52151998,40.872,1.55,57987597.35
